InputRow,TRN,ApplicationNumber,YearInput,EndpointUsed,HTTPStatus,Present,Note,CheckedAt
1,nan,SLB-159288,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:44.406287
2,nan,SLB-160812,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:45.099081
3,nan,SLB-158957,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:45.422317
4,nan,SLB-158016,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:45.745931
5,nan,SLB-156656,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:46.100237
6,nan,SLB-149835,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:46.423344
7,nan,SLB-159927,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:46.746150
8,nan,SLB-153702,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:47.069027
9,nan,SLB-161407,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:47.393615
10,nan,SLB-150752,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:47.717039
11,nan,SLB-161225,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:48.039575
12,nan,SLB-154772,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:48.361207
13,nan,SLB-148496,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:48.683977
14,nan,SLB-155964,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:49.006004
15,nan,SLB-160528,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:49.332925
16,nan,SLB-148894,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:49.661841
17,nan,SLB-158399,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:49.987059
18,nan,SLB-161355,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:50.310147
19,nan,SLB-147977,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:50.632733
20,nan,SLB-153967,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:50.954870
21,nan,SLB-157148,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:51.276895
22,nan,SLB-154265,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:51.610996
23,nan,SLB-159821,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:51.933623
24,nan,SLB-149351,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:52.259275
25,nan,SLB-160852,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:52.582418
26,nan,SLB-157456,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:52.906740
27,nan,SLB-150703,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:53.228917
28,nan,SLB-160772,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:53.563542
29,nan,SLB-161049,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:53.885045
30,nan,SLB-155816,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:54.210721
31,nan,SLB-156003,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:54.535608
32,nan,SLB-159065,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:54.858902
33,nan,SLB-160780,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:55.183023
34,nan,SLB-157409,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:55.507355
35,nan,SLB-160791,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:55.831671
36,nan,SLB-155583,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:56.152496
37,nan,SLB-155375,nan,/api/v2/Applications/ByTRN,400,False,"Error (400): {""statusCode"":400,""message"":""Invalid token""}",2025-11-24T11:55:56.476114
